Question,Class
What format was the major competition of VHS?,UNC
What ethnic group introduced the idea of potlatch?,UNC
What is the cultural origin of the ceremony of potlatch?,UNC
Who developed potlatch?,HUM
Where is Logan Airport?,LOC
What city is Logan Airport in?,UNC
Logan International serves what city?,UNC
Logan International is located in what city?,UNC
What city's airport is named Logan International?,UNC
What city is served by Logan International Airport?,UNC
Woodrow Wilson was president of which university?,UNC
Name the university of which Woodrow Wilson was president.,UNC
Woodrow Wilson served as president of what university?,UNC
What does the acronym CPR mean?,UNC
What do the initials CPR stand for?,UNC
CPR is the abbreviation for what?,UNC
"What is the meaning of ""CPR""?",UNC
What was the name of Darth Vader's son?,UNC
What was Darth Vader's son named?,UNC
What caused the death of Bob Marley?,UNC
What killed Bob Marley?,UNC
What was the cause of Bob Marley's death?,UNC
What instrument does Ray Charles play?,UNC
Musician Ray Charles plays what instrument?,UNC
Ray Charles plays which instrument?,UNC
Ray Charles is best known for playing what instrument?,UNC
When was Dick Clark born?,UNC
When is Dick Clark's birthday?,UNC
What is Dick Clark's date of birth?,UNC
What was Poe's birthplace?,UNC
What was the birthplace of Edgar Allen Poe?,UNC
Where is Poe's birthplace?,LOC
What monarch signed the Magna Carta?,UNC
Which king signed the Magna Carta?,UNC
Who was the king who was forced to agree to the Magna Carta?,HUM
What king signed the Magna Carta?,UNC
Who was the king who signed the Magna Carta?,HUM
Where is one's corpus callosum found?,LOC
What part of your body contains the corpus callosum?,UNC
The corpus callosum is in what part of the body?,UNC
What English word has the most letters?,UNC
What English word contains the most letters?,UNC
What is the longest English word?,UNC
What is the name of the inventor of silly putty?,UNC
Silly putty was invented by whom?,UNC
Who was the inventor of silly putty?,HUM
When was Berlin's Brandenburg gate erected?,UNC
What is the date of Boxing Day?,UNC
What date is Boxing Day?,UNC
Boxing Day is celebrated on what date?,UNC
What city does McCarren Airport serve?,UNC
What city is served by McCarren Airport?,UNC
McCarren Airport is located in what city?,UNC
What is the location of McCarren Airport?,UNC
Where is McCarren Airport located?,LOC
"Who invented ""The Muppets""?",HUM
"What was the name of ""The Muppets"" creator?",UNC
"""The Muppets"" was created by whom?",UNC
"Name the creator of ""The Muppets"".",UNC
"Who is the creator of ""The Muppets""?",HUM
What is the date of Bastille Day?,UNC
Bastille Day occurs on which date?,UNC
What is the equivalent of the Red Cross in the Middle East?,UNC
What is the name of the Islamic counterpart to the Red Cross?,UNC
Name the Islamic counterpart to the Red Cross.,UNC
What is the Islamic equivalent of the Red Cross?,UNC
What is the name given to the Islamic counterpart of the Red Cross?,UNC
Colin Powell is most famous for what?,UNC
Colin Powell is best known for what achievement?,UNC
Who is Colin Powell?,HUM
Colin Powell is famous for what?,UNC
What time of year do most people fly?,UNC
What time of year has the most air travel?,UNC
What time of year is air travel the heaviest?,UNC
At what time of year is air travel at a peak?,UNC
Name a golf course in Myrtle Beach.,UNC
What is Pittsburg's baseball team called?,UNC
The major league baseball team in Pittsburgh is called what?,UNC
Name Pittsburgh's baseball team.,UNC
What city is the Orange Bowl in?,UNC
The Orange Bowl is in what city?,UNC
The Orange Bowl is located in what city?,UNC
Where is the Orange Bowl?,LOC
When did Mount St. Helens last erupt?,UNC
When did Mount St. Helen last have a major eruption?,UNC
When did Mount St. Helen last have a significant eruption?,UNC
"How do you abbreviate ""Original Equipment Manufacturer""?",DESC
"How is ""Original Equipment Manufacturer"" abbreviated?",DESC
Where can one find Rider College?,LOC
What is the location of Rider College?,UNC
Rider College is located in what city?,UNC
Where is Rider College?,LOC
What is the occupation of Nicholas Cage?,UNC
What is Nicholas Cage's profession?,UNC
What is Nicholas Cage's occupation?,UNC
What does caliente translate to in English?,UNC
What is the English meaning of caliente?,UNC
What is the meaning of caliente (in English)?,UNC
"What is the English translation for the word ""caliente""?",UNC
What is the Jewish alphabet called?,UNC
The Jewish alphabet is called what?,UNC
The Jewish alphabet is known as what?,UNC
Jackson Pollock was a native of what country?,UNC
Jackson Pollock is of what nationality?,UNC
What was the nationality of Jackson Pollock?,UNC
The Kentucky Horse Park is close to which American city?,UNC
Where is the Kentucky Horse Park located?,LOC
Where is the Kentucky Horse Park?,LOC
What city is the Kentucky Horse Park near?,UNC
The Kentucky Horse Park is located near what city?,UNC
What is a nickname for Mississippi?,UNC
Mississippi is nicknamed what?,UNC
Mississippi has what name for a state nickname?,UNC
What is the nickname for the state of Mississippi?,UNC
What is the nickname of the state of Mississippi?,UNC
Rotary engines were manufactured by which company?,UNC
Who made the rotary engine automobile?,HUM
Rotary engine cars were made by what company?,UNC
Rotary engines used to be made by whom?,UNC
What company produced rotary engine vehicles?,UNC
What is the world's highest peak?,UNC
What is the highest mountain in the world?,UNC
Name the highest mountain.,UNC
What is the name of the tallest mountain in the world?,UNC
"What makes Black Hills, South Dakota a tourist attraction?",UNC
What are the Black Hills known for?,UNC
What was the monetary value of the Nobel Peace Prize in 1989?,UNC
What does the Peugeot company manufacture?,UNC
How much did Mercury spend on advertising in 1993?,DESC
What is the name of the managing director of Apricot Computer?,UNC
Why did David Koresh ask the FBI for a word processor?,DESC
What debts did Qintex group leave?,UNC
"What is the name of the rare neurological disease with symptoms such as: involuntary movements (tics), swearing, and incoherent vocalizations (grunts, shouts, etc.)?",UNC
How far is Yaroslavl from Moscow?,DESC
"Name the designer of the shoe that spawned millions of plastic imitations, known as ""jellies"".",UNC
Who was President Cleveland's wife?,HUM
How much did Manchester United spend on players in 1993?,DESC
How much could you rent a Volkswagen bug for in 1966?,DESC
What country is the biggest producer of tungsten?,UNC
When was London's Docklands Light Railway constructed?,UNC
What two US biochemists won the Nobel Prize in medicine in 1992?,UNC
How long did the Charles Manson murder trial last?,DESC
Who was the first Taiwanese President?,HUM
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco, Texas in 1993?",HUM
Where is Inoco based?,LOC
Who was the first American in space?,HUM
When did the Jurassic Period end?,UNC
When did Spain and Korea start ambassadorial relations?,UNC
When did Nixon visit China?,UNC
"Who was the lead actress in the movie ""Sleepless in Seattle""?",HUM
"What is the name of the ""female"" counterpart to El Nino, which results in cooling temperatures and very dry weather?",UNC
Where did the 6th annual meeting of Indonesia-Malaysia forest experts take place?,LOC
Who may be best known for breaking the color line in baseball?,HUM
What is the brightest star visible from Earth?,UNC
What are the Valdez Principles?,UNC
Where was Ulysses S. Grant born?,LOC
Who received the Will Rogers Award in 1989?,HUM
What is the largest city in Germany?,UNC
"Where is the actress, Marion Davies, buried?",LOC
What is the name of the highest mountain in Africa?,UNC
"In 1990, what day of the week did Christmas fall on?",UNC
What was the name of the US helicopter pilot shot down over North Korea?,UNC
Where was George Washington born?,LOC
Who was chosen to be the first black chairman of the military Joint Chiefs of Staff?,HUM
Who won the Nobel Peace Prize in 1991?,HUM
What is the legal blood alcohol limit for the state of California?,UNC
What was the target rate for M3 growth in 1992?,UNC
What costume designer decided that Michael Jackson should only wear one glove?,UNC
Who is the director of the international group called the Human Genome Organization (HUGO) that is trying to coordinate gene-mapping research worldwide?,HUM
"When did Lucelly Garcia, a former ambassador of Columbia to Honduras, die?",UNC
Who is the mayor of Marbella?,HUM
What company is the largest Japanese ship builder?,UNC
Where is the massive North Korean nuclear complex located?,LOC
Who fired Maria Ybarra from her position in San Diego council?,HUM
When was Dubai's first concrete house built?,UNC
Who is the president of Stanford University?,HUM
Who invented the road traffic cone?,HUM
Who was the first doctor to successfully transplant a liver?,HUM
When did Nixon die?,UNC
Where is Microsoft's corporate headquarters located?,LOC
How many calories are there in a Big Mac?,DESC
What is the acronym for the rating system for air conditioner efficiency?,UNC
Name a film that has won the Golden Bear in the Berlin Film Festival?,UNC
Who was President of Costa Rica in 1994?,HUM
What is the fare cost for the round trip between New York and London on Concorde?,UNC
What brand of white rum is still made in Cuba?,UNC
What is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body?,UNC
"What nuclear-powered Russian submarine sank in the Norwegian Sea on April 7, 1989?",UNC
Who is the voice of Miss Piggy?,HUM
Name a country that is developing a magnetic levitation railway system?,UNC
Name the first private citizen to fly in space.,UNC
What is the longest river in the United States?,UNC
What does El Nino mean in spanish?,UNC
"Who came up with the name, El Nino? ",HUM
"How many lives were lost in the China Airlines' crash in Nagoya, Japan?",DESC
In what year did Joe DiMaggio compile his 56-game hitting streak?,UNC
When did the original Howdy Doody show go off the air?,UNC
Where is the Taj Mahal?,LOC
Who leads the star ship Enterprise in Star Trek?,HUM
What cancer is commonly associated with AIDS?,UNC
In which year was New Zealand excluded from the ANZUS alliance?,UNC
"Who played the part of the Godfather in the movie, ""The Godfather""? ",HUM
Which large U.S. city had the highest murder rate for 1988?,UNC
What did Shostakovich write for Rostropovich?,UNC
What is the name of the promising anticancer compound derived from the pacific yew tree?,UNC
How many inhabitants live in the town of Ushuaia?,DESC
How many consecutive baseball games did Lou Gehrig play?,DESC
What is the tallest building in Japan?,UNC
Which country is Australia's largest export market?,UNC
Which former Ku Klux Klan member won an elected office in the U.S.?,UNC
Who won two gold medals in skiing in the Olympic Games in Calgary?,HUM
Who followed Willy Brandt as chancellor of the Federal Republic of Germany?,HUM
What is Grenada's main commodity export?,UNC
At what age did Rossini stop writing opera?,UNC
Who is the founder of Scientology?,HUM
Which city in China has the largest number of foreign financial companies?,UNC
Who released the Internet worm in the late 1980s?,HUM
Who first circumnavigated the globe?,HUM
"Who wrote the song, ""Stardust""?",HUM
What country is the worlds leading supplier of cannabis?,UNC
What time of day did Emperor Hirohito die?,UNC
How large is the Arctic refuge to preserve unique wildlife and wilderness value on Alaska's north coast?,DESC
Where is the highest point in Japan?,LOC
What is the term for the sum of all genetic material in a given organism?,UNC
What is considered the costliest disaster the insurance industry has ever faced?,UNC
How many people live in the Falklands?,DESC
Who is the Voyager project manager?,HUM
How many people died when the Estonia sank in 1994?,DESC
What language is most commonly used in Bombay?,UNC
How many people does Honda employ in the U.S.?,DESC
What is the second highest mountain peak in the world?,UNC
When was China's first nuclear test?,UNC
Which company created the Internet browser Mosaic?,UNC
"Where does Buzz Aldrin want to build a permanent, manned space station?",LOC
Who killed Lee Harvey Oswald?,HUM
How long does it take to travel from Tokyo to Niigata?,DESC
Who is the President of Ghana?,HUM
What is the name of the medical condition in which a baby is born without a brain?,UNC
How much stronger is the new vitreous carbon material invented by the Tokyo Institute of Technology compared with the material made from cellulose?,DESC
What is Head Start?,UNC
Which team won the Super Bowl in 1968?,UNC
What two researchers discovered the double-helix structure of DNA in 1953?,UNC
What percentage of the world's plant and animal species can be found in the Amazon forests?,UNC
What Nobel laureate was expelled from the Philippines before the conference on East Timor?,UNC
Who held the endurance record for women pilots in 1929?,HUM
Who won the first general election for President held in Malawi in May 1994?,HUM
Who is section manager for guidance and control systems at JPL?,HUM
How many Vietnamese were there in the Soviet Union?,DESC
What was Agent Orange used for during the Vietnam War?,UNC
In what city is the US Declaration of Independence located?,UNC
When did Israel begin turning the Gaza Strip and Jericho over to the PLO?,UNC
Which city has the oldest relationship as a sister-city with Los Angeles?,UNC
Who was the second man to walk on the moon?,HUM
"How many times was pitcher, Warren Spahn, a 20-game winner in his 21 major league seasons?",DESC
When was Yemen reunified?,UNC
Which Japanese car maker had its biggest percentage of sale in the domestic market?,UNC
What is the capital of Uruguay?,UNC
"What is the name for the technique of growing certain plants in soils contaminated with toxic metals, wherein the plants take up the toxic metals, are harvested, and the metals recovered for recycling?",UNC
"Where is it planned to berth the merchant ship, Lane Victory, which Merchant Marine veterans are converting into a floating museum?",LOC
What famous communist leader died in Mexico City?,UNC
Who is the Queen of Holland?,HUM
Who is the president of the Spanish government?,HUM
"What is the name of the normal process in all living things, including humans, in which cells are programmed to ""commit suicide""?",UNC
How many people did the United Nations commit to help restore order and distribute humanitarian relief in Somalia in September 1992?,DESC
"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie, Scotland, December 21, 1988?",DESC
What is the duration of the trip from Bristol to London by rail?,UNC
"What is the population of Ulan Bator, capital of Mongolia?",UNC
Where does most of the marijuana entering the United States come from?,LOC
"How many megawatts will the power project in Indonesia, built by a consortium headed by Mission Energy of US, produce?",DESC
What did John Hinckley do to impress Jodie Foster?,UNC
In what year did Ireland elect its first woman president?,UNC
Who is the prime minister of Japan?,HUM
How many soldiers were involved in the last Panama invasion by the United States of America?,DESC
Where is the Bulls basketball team based?,LOC
What is the length of border between the Ukraine and Russia?,UNC
Where did Dylan Thomas die?,LOC
How many people live in Tokyo?,DESC
What is the capital of California?,UNC
How many Grand Slam titles did Bjorn Borg win?,DESC
Who was the Democratic nominee in the American presidential election?,HUM
When was General Manuel Noriega ousted as the leader of Panama and turned over to U.S. authorities?,UNC
Where is  Dartmouth College?,LOC
How many mines can still be found in the Falklands after the war ended?,DESC
Why are electric cars less efficient in the north-east than in California?,DESC
When did French revolutionaries storm the Bastille?,UNC
How rich is Bill Gates?,DESC
What is the capital of Kosovo?,UNC
What state does Charles Robb represent?,UNC
Who is the leading competitor of Trans Union Company?,HUM
Which type of submarine was bought recently by South Korea?,UNC
When did communist control end in Hungary?,UNC
What nationality is Pope John Paul II?,UNC
"Who was the captain of the tanker, Exxon Valdez, involved in the oil spill in Prince William Sound, Alaska, 1989?",HUM
Whom did the Chicago Bulls beat in the 1993 championship?,UNC
Who was President of Afghanistan in 1994?,HUM
Who is the director of intergovernmental affairs for the San Diego county?,HUM
Where is the Keck telescope?,LOC
How many moons does Jupiter have?,DESC
When did Jaco Pastorius die?,UNC
When did beethoven die?,UNC
How many people in Tucson?,DESC
How tall is Mt. Everest?,DESC
What is the capital of Congo?,UNC
What is the capital of Italy?,UNC
What is the capital of Sri Lanka?,UNC
What novel inspired the movie BladeRunner?,UNC
What was the first Gilbert and Sullivan opera?,UNC
"What was the name of the computer in ""2001: A Space Odyssey""?",UNC
When was Queen Victoria born?,UNC
When was the battle of the Somme fought?,UNC
Where did the Battle of the Bulge take place?,LOC
Where was Lincoln assassinated?,LOC
When was the women's suffrage amendment ratified?,UNC
Where is Qatar?,LOC
Where is South Bend?,LOC
Where was Harry Truman born?,LOC
Who was Secretary of State during the Nixon administration?,HUM
Who was the 16th President of the United States?,HUM
"Who wrote ""The Pines of Rome""?",HUM
"Who wrote ""Dubliners""? ",HUM
"Who wrote ""Hamlet""?",HUM
What did Richard Feynman say upon hearing he would receive the Nobel Prize in Physics?,UNC
How did Socrates die?,DESC
How tall is the Matterhorn?,DESC
How tall is the replica of the Matterhorn at Disneyland?,DESC
